Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-03-14,12.78,12.78,12,12.64,36087
2012-03-15,12.67,12.7,12.2,12.42,5734
2012-03-16,12.42,12.46,12.11,12.45,8995
2012-03-19,12.47,12.47,12.39,12.39,861
2012-03-20,12.47,12.47,12.02,12.25,1517
2012-03-21,12.3,12.3,11.91,12.14,5163
2012-03-22,12.15,12.15,11.3,12.12,2503
2012-03-23,12.15,12.15,11.4,12,5834
2012-03-26,12.15,12.15,12.15,12.15,1
2012-03-27,11.4,12.15,11.4,12,4378
2012-03-28,12.1,12.1,11.98,11.98,2052
2012-03-29,11.98,12.14,11.9,12.14,3851
2012-03-30,12.15,12.15,12.15,12.15,1
2012-04-02,12.1,12.1,12.1,12.1,2
2012-04-03,12.1,12.1,11.65,12.1,2279
2012-04-04,12.1,12.1,11.54,12,3577
2012-04-05,12.1,12.1,12,12,3
2012-04-10,12,12.1,11.6,12.06,31246
2012-04-11,11.9,11.91,11.5,11.91,2391
2012-04-12,11.41,11.56,11.1,11.1,36112
2012-04-13,11.34,11.34,10.86,10.88,9648
2012-04-16,10.86,10.86,10.21,10.47,658
2012-04-17,10.5,10.5,10.1,10.5,518
2012-04-18,10.38,10.47,10.05,10.47,646
2012-04-19,10.47,10.47,10.05,10.47,33
2012-04-20,10.47,10.47,9.11,9.11,31025
2012-04-23,9.11,9.35,8.93,8.93,1700
2012-04-24,8.4,8.8,8.4,8.8,1992
2012-04-25,8.8,8.83,8.43,8.8,1443
2012-04-26,9,9,8.55,8.6,35
2012-04-27,8.6,8.78,8.6,8.78,802
2012-04-30,8.6,8.78,8.48,8.78,2478
2012-05-02,8.78,8.78,8.69,8.69,122
2012-05-04,8.7,8.7,8.06,8.7,6145
2012-05-07,8.78,8.78,8.2,8.73,2374
2012-05-08,8.72,8.72,8.7,8.71,52
2012-05-09,8.4,8.4,8.02,8.39,1509
2012-05-10,8.5,8.5,8.02,8.5,280
2012-05-11,8.5,8.69,8.28,8.69,1920
2012-05-14,8.69,8.69,8.43,8.43,1214
2012-05-15,8.43,8.73,8.4,8.4,2221
2012-05-16,8.02,8.72,8,8.72,1758
2012-05-17,8.7,8.72,8,8,4747
2012-05-18,7.9,8.51,7.7,8.38,3439
2012-05-21,8.59,8.59,8.2,8.59,255
2012-05-22,8.49,8.49,8.49,8.49,1
2012-05-23,8.2,8.39,8.2,8.39,1130
2012-05-24,8,8,8,8,141
2012-05-25,8,8.35,7.92,8.35,2946
2012-05-28,8.35,8.5,8.35,8.5,1200
2012-05-29,8.5,8.72,8.3,8.72,758
2012-05-30,8.72,8.72,8.2,8.72,1859
2012-05-31,8.72,8.72,8.72,8.72,1
2012-06-01,8.72,8.79,8.4,8.4,1101
2012-06-04,8.55,8.55,8.55,8.55,1
2012-06-05,8.55,8.75,8.4,8.4,4428
2012-06-06,8.4,8.75,8.15,8.74,3893
2012-06-08,8.78,9.13,8.6,9.13,7181
2012-06-11,9.19,9.19,8.72,8.89,1486
2012-06-12,8.88,8.89,8.88,8.89,1001
2012-06-13,9.18,9.18,8.48,8.8,1861
2012-06-14,8.98,8.98,8.98,8.98,1
2012-06-15,9.18,9.18,9.18,9.18,331
2012-06-18,9.14,9.18,8.48,9.18,1015
2012-06-19,9.19,9.2,8.45,9.2,6654
2012-06-20,9.21,9.21,8.8,9.19,553
2012-06-21,9.19,9.29,8.4,9.29,7082
2012-06-22,9,9.29,8.61,9.29,2949
2012-06-25,9.29,9.29,9,9.1,752
2012-06-26,9.2,9.2,9.2,9.2,5
2012-06-27,9.19,9.3,9.19,9.3,5479
2012-06-28,9.31,9.31,9.31,9.31,1
2012-06-29,9.33,9.33,9.33,9.33,1
2012-07-02,9.3,9.3,8.4,8.79,9796
2012-07-03,8.79,8.79,8.39,8.4,2314
2012-07-04,8.39,8.39,8.39,8.39,2
2012-07-05,8.39,8.57,8.39,8.57,1797
2012-07-06,8.56,8.56,8.54,8.54,118
2012-07-09,8.6,8.73,8.6,8.73,3
2012-07-10,8.79,8.79,8.51,8.69,803
2012-07-11,8.69,8.69,8.2,8.3,1684
2012-07-12,8.36,8.36,7.9,8.26,2757
2012-07-13,8.26,8.26,8.26,8.26,1
2012-07-16,8.27,8.27,8.27,8.27,1
2012-07-17,8.27,8.27,8.27,8.27,1
2012-07-18,8.27,8.27,8.26,8.26,61
2012-07-19,8.27,8.27,7.91,7.91,3
2012-07-20,7.91,7.91,7.63,7.63,2235
2012-07-23,7.6,7.7,7.5,7.7,730
2012-07-24,7.7,7.7,7.7,7.7,1111
2012-07-25,7.7,7.99,7.7,7.99,3
2012-07-26,7.97,7.99,7.65,7.99,115
2012-07-27,7.99,7.99,7.99,7.99,2
2012-07-30,7.99,8.5,7.65,8.26,2717
2012-07-31,8.26,8.49,8,8.26,9302
2012-08-01,8.48,8.48,8.48,8.48,1
2012-08-02,8.48,8.48,8.48,8.48,1
2012-08-06,8.27,8.47,8.27,8.47,5
2012-08-07,8.47,8.47,7.9,8,988
2012-08-08,7.99,7.99,7.99,7.99,401
2012-08-09,7.99,7.99,7.99,7.99,1
2012-08-10,7.9,7.9,7.64,7.84,402
2012-08-13,7.84,7.84,7.63,7.63,505
2012-08-14,7.63,7.7,7.63,7.7,1102
2012-08-16,7.7,7.7,7.7,7.7,1000
2012-08-17,7.6,7.6,7.52,7.6,418
2012-08-20,7.6,7.6,7.5,7.6,55
2012-08-21,7.6,7.6,7.6,7.6,2
2012-08-22,7.6,7.6,7.58,7.6,41
2012-08-23,7.6,7.69,6.85,7.69,28177
2012-08-24,7.64,7.7,7.64,7.7,6
2012-08-27,7.7,7.7,7.7,7.7,2
2012-08-28,7.7,7.7,7.7,7.7,2
2012-08-29,7.7,7.7,7.38,7.7,332
2012-08-30,7.7,7.7,7.7,7.7,2
2012-08-31,7.7,7.8,7.7,7.79,2502
2012-09-03,7.79,8.37,7.79,8.35,7294
2012-09-04,8.49,8.49,8.15,8.19,1101
2012-09-05,8.19,8.2,7.82,8.19,609
2012-09-06,8.2,8.2,7.85,8.15,404
2012-09-07,8.17,8.21,8.16,8.21,20701
2012-09-10,8.15,8.15,8.15,8.15,2
2012-09-11,8.15,8.15,7.85,7.85,1559
2012-09-12,7.85,7.85,7.85,7.85,2
2012-09-13,7.87,7.87,7.55,7.85,183
2012-09-14,7.88,7.88,7.88,7.88,1393
2012-09-17,7.89,8.11,7.89,8.11,82
2012-09-18,8.15,8.15,8.15,8.15,2
2012-09-19,8.15,8.15,7.8,8.15,1102
2012-09-21,7.8,8.09,7.8,8.09,104
2012-09-24,7.65,8.02,7.65,8.02,9
2012-09-26,8.02,8.02,8,8,8
2012-09-28,7.99,8.02,7.65,8.02,229
2012-10-02,7.9,7.9,7.9,7.9,100
2012-10-03,7.8,7.8,7.65,7.78,255
2012-10-04,7.78,7.78,7.52,7.65,599
2012-10-05,7.53,7.7,7.53,7.7,301
2012-10-08,7.7,7.7,7.7,7.7,170
2012-10-09,7.7,7.7,7.55,7.7,536
2012-10-10,7.7,7.7,7.7,7.7,1
2012-10-11,7.7,7.7,7.7,7.7,1
2012-10-12,7.7,7.7,7.7,7.7,2
2012-10-15,7.7,7.7,7.7,7.7,10
2012-10-16,7.7,7.7,7.39,7.68,107
2012-10-17,7.68,7.68,7.38,7.49,666
2012-10-18,7.49,7.49,7.49,7.49,15
2012-10-19,7.49,7.49,7.49,7.49,2
2012-10-22,7.49,7.5,7.49,7.5,126
2012-10-24,7.5,7.7,7.5,7.7,1065
2012-10-25,7.7,7.86,7.52,7.86,364
2012-10-26,7.85,7.85,7.85,7.85,1
2012-10-29,7.8,7.86,7.8,7.85,504
2012-10-30,7.85,7.86,7.5,7.86,1549
2012-10-31,7.99,7.99,7.85,7.86,294
2012-11-05,7.53,7.99,7.53,7.99,2003
2012-11-06,7.98,7.98,7.53,7.85,2061
2012-11-07,7.96,7.96,7.96,7.96,1
2012-11-08,7.85,7.85,7.5,7.85,2638
2012-11-09,7.6,7.6,7.6,7.6,20
2012-11-12,7.6,7.6,7.6,7.6,1
2012-11-13,7.59,7.6,7.27,7.6,6
2012-11-14,7.6,7.6,7.6,7.6,80
2012-11-15,7.6,7.6,7.6,7.6,1
2012-11-16,7.6,7.6,7.28,7.6,558
2012-11-19,7.6,7.6,6.99,7.05,3657
2012-11-20,7.25,7.25,7.25,7.25,21
2012-11-21,7.25,7.25,7.25,7.25,200
2012-11-22,6.97,7.24,6.97,7.24,6
2012-11-23,7.47,7.47,7.47,7.47,1
2012-11-26,7.48,7.48,7.48,7.48,1
2012-11-27,7.48,7.48,7.48,7.48,1
2012-11-28,7.47,7.47,7.47,7.47,1
2012-11-29,7.47,7.47,7.47,7.47,1
2012-11-30,7.3,7.3,7.3,7.3,1000
2012-12-03,7.01,7.3,6.98,7.3,290
2012-12-04,7.29,7.29,7.29,7.29,11
2012-12-05,7.29,7.29,6.97,7.2,255
2012-12-06,7,7.28,7,7.28,301
2012-12-07,7.28,7.28,7.28,7.28,316
2012-12-10,7.28,7.28,7,7,16
2012-12-11,7.2,7.2,7,7.18,303
2012-12-12,7.19,7.19,7,7,1383
2012-12-13,7.19,7.19,7.19,7.19,1
2012-12-14,7.18,7.18,7,7,208
2012-12-17,7,7,6.9,6.9,173
2012-12-18,6.9,6.9,6.87,6.87,389
2012-12-19,6.87,6.87,6.6,6.77,1262
2012-12-20,6.87,6.87,5.8,5.91,10861
2012-12-21,5.92,6.23,5.92,6.23,665
2012-12-27,6.25,6.25,6.25,6.25,16
2012-12-28,6.25,6.59,6,6.59,3420
2013-01-02,6.7,6.7,6.7,6.7,8
2013-01-03,6.68,6.68,6.68,6.68,8
2013-01-04,6.5,6.5,6.5,6.5,1483
2013-01-07,6.21,6.37,6.21,6.21,763
2013-01-08,6.25,6.25,6.25,6.25,400
2013-01-09,6.26,6.26,6.26,6.26,1
2013-01-10,6.28,6.28,6.26,6.26,1501
2013-01-11,6.26,6.26,6,6,1671
2013-01-14,6,6.25,5.92,6.14,2068
2013-01-15,6.1,6.1,6,6,157
2013-01-16,6,6,5.9,6,960
2013-01-17,6,6,5.75,6,791
2013-01-18,6,6.18,6,6,7068
2013-01-21,6.01,6.01,5.65,5.85,4323
2013-01-22,5.85,5.85,5.85,5.85,135
2013-01-23,5.85,5.85,5.5,5.65,2763
2013-01-24,5.64,5.64,5.64,5.64,2
2013-01-25,5.63,5.65,5.63,5.65,2
2013-01-28,5.65,5.65,5.65,5.65,550
2013-01-29,5.65,5.65,5.5,5.65,26
2013-01-30,5.65,5.65,5.59,5.59,102
2013-01-31,5.59,5.59,5.5,5.5,42
2013-02-01,5.59,5.59,5.2,5.4,473
2013-02-04,5.39,5.39,5.39,5.39,1
