Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-01-08,8.5,9,7.5,9,784
2013-01-09,7.5,9,7.2,9,634
2013-01-10,9,9.05,9,9,136
2013-01-11,10,10,10,10,10
2013-01-15,9.5,10,9,10,205
2013-02-18,9.5,9.5,9.5,9.5,150
2013-02-22,9,9.99,8,9,390
2013-02-25,8,9,8,9,140
2013-02-26,9.99,9.99,9,9.5,454
2013-02-27,9.45,9.45,9.45,9.45,150
2013-03-06,9.5,9.5,9.5,9.5,20
2013-03-07,9,9,9,9,30
2013-03-08,9,9.5,9,9.5,106
2013-03-11,9,9.5,9,9.5,90
2013-03-14,9.99,9.99,9.99,9.99,1
2013-03-15,9.99,10,9.5,10,200
2013-03-19,9.86,9.86,9.86,9.86,20
2013-03-20,9.87,10,9.87,10,70
2013-03-21,9.9,9.9,9.9,9.9,100
2013-03-22,10,10,10,10,90
2013-03-25,10,10.1,10,10.1,100
2013-03-26,9.9,10.14,9.9,10.14,100
2013-03-28,10.1,10.2,10.1,10.2,54
2013-04-05,10.3,10.4,10.3,10.4,100
2013-04-11,10.9,10.9,10.9,10.9,10
2013-04-12,10.7,10.7,10.7,10.7,70
2013-04-19,10.99,10.99,10.99,10.99,10
2013-04-26,10.99,10.99,10.99,10.99,10
2013-04-29,10.99,11.19,10.99,11.19,72
2013-04-30,11.15,11.15,11.15,11.15,30
2013-05-02,11.19,11.19,11.19,11.19,10
2013-05-07,11.19,11.2,11.19,11.2,20
2013-05-08,11.45,11.45,11.45,11.45,55
2013-05-09,11.49,11.49,11.49,11.49,20
2013-05-10,11.5,11.6,11.5,11.6,50
2013-05-13,11.6,11.6,11.6,11.6,100
2013-05-14,11.55,11.95,11.55,11.95,40
2013-05-15,11.95,12,11.95,12,40
2013-05-16,11.5,11.85,11.5,11.85,30
2013-05-17,12.05,12.05,12.05,12.05,10
2013-05-20,12,12,12,12,10
2013-05-21,12.04,12.04,12.04,12.04,100
2013-05-23,12,12,12,12,10
2013-05-24,12,12,11.8,11.8,60
2013-05-27,11.5,11.5,11.5,11.5,90
2013-05-28,11.8,11.8,11.8,11.8,70
2013-05-29,12.01,12.02,12.01,12.01,60
2013-05-31,12.02,12.05,12.02,12.05,20
2013-06-03,12.05,12.05,11.22,11.22,110
2013-06-04,11.95,11.95,11.95,11.95,75
2013-06-05,12.05,12.05,12.05,12.05,10
2013-06-06,12.04,12.04,12.04,12.04,20
2013-06-07,12.05,12.1,12.05,12.1,55
2013-06-10,12.1,12.1,12.1,12.1,35
2013-06-11,12.09,12.09,12.09,12.09,20
2013-06-12,12.09,12.09,12.09,12.09,35
2013-06-13,12.09,12.09,12.09,12.09,37
2013-06-14,12.09,12.09,12.09,12.09,30
2013-06-17,12.12,12.14,12.12,12.14,35
2013-06-19,12.14,12.14,12.14,12.14,10
2013-06-20,12.15,12.15,12.15,12.15,30
2013-06-21,12.15,12.19,12.15,12.19,40
2013-06-24,12.2,12.2,12.2,12.2,25
2013-06-25,12,12,12,12,30
2013-06-27,12.1,12.1,12.1,12.1,20
2013-06-28,12.2,12.2,12.2,12.2,30
2013-07-02,12.15,12.15,12.15,12.15,25
2013-07-03,12.15,12.15,12.15,12.15,5
2013-07-04,11.36,12.2,11.36,12.2,145
2013-07-08,11.36,11.55,11.36,11.55,40
2013-07-09,11.65,11.65,11.65,11.65,10
2013-07-10,10.84,10.84,10.8,10.8,204
2013-07-11,10.8,10.8,10.8,10.8,20
2013-07-16,10.1,10.1,10.1,10.1,20
2013-07-17,10.2,10.2,10.2,10.2,30
2013-07-25,10.09,10.09,10.09,10.09,79
2013-08-05,9.5,9.5,9.5,9.5,20
2013-08-06,9.5,9.5,9.45,9.45,188
2013-08-08,9.45,9.45,9.45,9.45,10
2013-08-13,9.45,9.45,9.45,9.45,10
2013-08-19,9.4,9.4,9.4,9.4,30
2013-08-20,9.4,9.4,9.4,9.4,20
2013-08-21,9.4,9.4,9.4,9.4,30
2013-08-22,9.4,9.4,9.4,9.4,10
2013-08-23,9.44,9.44,9.44,9.44,40
2013-08-26,9.44,9.44,9.44,9.44,20
2013-08-27,9.44,9.44,9.44,9.44,20
2013-08-29,8.8,9.25,8.8,9,306
2013-08-30,8.38,9,8,9,350
2013-09-02,7.8,8.38,7.34,8.38,360
2013-09-06,7.55,7.65,7.55,7.65,40
2013-09-09,7.12,7.2,6.45,7.2,570
2013-09-10,6.5,6.53,6.5,6.53,20
