Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-05-14,19.6059,19.7835,18.3141,18.8331,441139.38325113
2019-05-15,19.0921,23.5845,19.0921,23.5845,376399.83239451
2019-05-16,24.7072,25.5711,21.1654,21.5969,400839.2727883
2019-05-17,21.5969,22.634,20.0679,21.9426,170870.41165134
2019-05-20,22.2883,22.2883,20.1284,20.2326,56657.819036284
2019-05-21,20.3017,20.9922,19.1096,19.7835,70188.69252936
2019-05-22,19.507,19.507,17.3252,17.8564,189845.85634814
2019-05-23,17.537,18.6861,17.2954,18.1846,36713.434910153
2019-05-24,18.3141,21.3378,18.1504,21.3378,142051.31933227
2019-05-27,20.9064,21.3125,19.6147,20.215,83003.145005703
2019-05-28,20.3874,21.1654,19.8868,20.0426,40294.397376569
2019-05-29,20.2841,20.3874,18.9022,19.5236,26693.824231148
2019-05-30,18.8331,20.5607,17.796,19.1009,114988.42972887
2019-05-31,19.1009,19.5157,18.3491,18.8331,29398.399265611
2019-06-03,19.0054,19.2995,18.4874,18.4874,12460.241128356
2019-06-04,18.574,19.2558,18.574,18.7893,16265.156576079
2019-06-05,18.7464,19.2646,18.4962,18.8331,11971.200944685
2019-06-06,18.6599,18.6599,16.8455,17.8739,82394.130010617
2019-06-07,17.7015,18.1416,17.3164,17.537,35905.604513294
2019-06-10,17.7015,17.7015,16.8455,17.2779,26974.908075033
2019-06-11,16.7597,17.2779,16.4228,16.5007,23980.108258672
2019-06-12,16.4228,16.9234,14.928,15.2046,50875.033126095
2019-06-13,15.2046,16.414,15.0313,15.0313,25644.901594208
2019-06-14,15.4811,15.896,14.928,15.756,12332.267996181
2019-06-17,15.9817,15.9817,15.118,15.636,3203.8987733986
2019-06-18,15.896,15.896,14.8588,15.2046,9377.4597836242
2019-06-19,15.2046,15.2046,13.9951,14.0983,34451.052752048
2019-06-21,14.1675,15.075,14.1675,14.6917,22901.477573191
2019-06-24,14.6865,14.6865,13.9259,14.3233,6876.2706199403
2019-06-25,14.3233,15.2824,13.0533,14.8588,40232.696044985
2019-06-26,14.6173,15.0662,14.178,14.9018,4492.771033168
