Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-08-02,7.90337,7.90337,7.90337,7.90337,363602.03827841
1994-08-03,8.68064,8.68064,8.68064,8.68064,340647.05560374
1994-08-04,9.54149,9.54149,9.54149,9.54149,372389.99372152
1994-08-08,8.68064,8.68064,8.68064,8.68064,276145.03065628
1994-08-09,10.2457,10.2457,10.2457,10.2457,141875.94570211
1994-08-10,9.66425,9.66425,9.66425,9.66425,163687.50652965
1994-08-11,9.46684,9.46684,9.46684,9.46684,133920.86565611
1994-08-16,10.0581,10.0581,10.0581,10.0581,85308.63709902
1994-08-17,10.5629,10.5629,10.5629,10.5629,86376.713250084
1994-08-18,9.50416,9.50416,9.50416,9.50416,57138.51043412
1994-08-22,9.86167,9.86167,9.86167,9.86167,110009.80718939
1994-08-23,9.07389,9.07389,9.07389,9.07389,71687.357071441
1994-08-24,8.87717,8.87717,8.87717,8.87717,79600.691529084
1994-08-25,7.97841,7.97841,7.97841,7.97841,67105.524202245
1994-08-29,8.64312,8.64312,8.64312,8.64312,92967.425286151
1994-08-30,8.6057,8.6057,8.6057,8.6057,60320.338815506
1994-08-31,8.1,8.1,8.1,8.1,48978.775186624
1994-09-01,7.90337,7.90337,7.90337,7.90337,71383.937916992
1994-09-05,7.51003,7.51003,7.51003,7.51003,45157.526573713
1994-09-06,6.75162,6.75162,6.75162,6.75162,39532.053995423
1994-09-07,6.08672,6.08672,6.08672,6.08672,164253.61743527
1994-09-08,6.66735,6.66735,6.66735,6.66735,90912.727790588
1994-09-12,7.3135,7.3135,7.3135,7.3135,113849.38313378
1994-09-13,6.59242,6.59242,6.59242,6.59242,171345.2765317
1994-09-14,6.70477,6.70477,6.70477,6.70477,71050.991395164
1994-09-15,6.57365,6.57365,6.57365,6.57365,41202.895715057
1994-09-19,6.555,6.555,6.555,6.555,57523.384395132
1994-09-20,5.90875,5.90875,5.90875,5.90875,66263.485139395
1994-09-21,5.37505,5.37505,5.37505,5.37505,93921.464708026
1994-09-22,5.59033,5.59033,5.59033,5.59033,83112.411877051
1994-09-26,5.44056,5.44056,5.44056,5.44056,52261.403891132
1994-09-27,5.04741,5.04741,5.04741,5.04741,59205.426150669
1994-09-28,5.04741,5.04741,5.04741,5.04741,106676.26923079
1994-09-29,5.33763,5.33763,5.33763,5.33763,53514.789727128
1994-10-03,5.87133,5.87133,5.87133,5.87133,109517.00560969
1994-10-04,5.92761,5.92761,5.92761,5.92761,129681.14297448
1994-10-05,6.51748,6.51748,6.51748,6.51748,83941.214533835
1994-10-06,6.41455,6.41455,6.41455,6.41455,104606.29895899
1994-10-07,6.53623,6.53623,6.53623,6.53623,85909.366297425
1994-10-10,6.41455,6.41455,6.41455,6.41455,54644.975168196
1994-10-11,6.12423,6.12423,6.12423,6.12423,56998.000892798
1994-10-12,6.12423,6.12423,6.12423,6.12423,50477.543627391
1994-10-13,5.5155,5.5155,5.5155,5.5155,91994.040347717
1994-10-14,6.03996,6.03996,6.03996,6.03996,132546.31579535
1994-10-17,6.32085,6.32085,6.32085,6.32085,95325.541936164
1994-10-18,6.51748,6.51748,6.51748,6.51748,94021.246846066
1994-10-19,6.41455,6.41455,6.41455,6.41455,46264.293757895
1994-10-20,6.3022,6.3022,6.3022,6.3022,123298.14069514
1994-10-21,5.98379,5.98379,5.98379,5.98379,62691.691871586
1994-10-24,5.53426,5.53426,5.53426,5.53426,61947.398576612
1994-10-25,5.6091,5.6091,5.6091,5.6091,47861.826151622
1994-10-26,5.63729,5.63729,5.63729,5.63729,118983.07231744
1994-10-27,5.33763,5.33763,5.33763,5.33763,33441.270834639
1994-10-28,5.22518,5.22518,5.22518,5.22518,29303.366661214
1994-11-02,5.74964,5.74964,5.74964,5.74964,43318.684315543
1994-11-03,5.69336,5.69336,5.69336,5.69336,17866.093634619
1994-11-04,5.67471,5.67471,5.67471,5.67471,46843.641069578
1994-11-07,5.63729,5.63729,5.63729,5.63729,36702.517652424
1994-11-08,5.63729,5.63729,5.63729,5.63729,21158.904189947
1994-11-09,5.65594,5.65594,5.65594,5.65594,54843.521259195
1994-11-10,5.65594,5.65594,5.65594,5.65594,46990.259721392
1994-11-14,5.63729,5.63729,5.63729,5.63729,38939.470277674
1994-11-15,5.22518,5.22518,5.22518,5.22518,44032.432058055
1994-11-16,5.22518,5.22518,5.22518,5.22518,74206.346964416
1994-11-17,5.12225,5.12225,5.12225,5.12225,23779.712591127
1994-11-18,5.42191,5.42191,5.42191,5.42191,47104.296450581
1994-11-21,4.86945,4.86945,4.86945,4.86945,18725.441843863
1994-11-22,4.40116,4.40116,4.40116,4.40116,59914.082967772
1994-11-23,4.45734,4.45734,4.45734,4.45734,33737.562693513
1994-11-24,4.43859,4.43859,4.43859,4.43859,23174.910652393
1994-11-25,4.45734,4.45734,4.45734,4.45734,14417.500761737
1994-11-28,4.86945,4.86945,4.86945,4.86945,36583.389997825
1994-11-29,5.3563,5.3563,5.3563,5.3563,85315.764394594
1994-11-30,5.80582,5.80582,5.80582,5.80582,76936.101169376
